timestamps,open,high,low,close,volume,amount
2015-01-02 09:00:00,1185.87,1187.43,1185.85,1186.87,404,479495.48
2015-01-02 10:00:00,1186.95,1187.07,1184.59,1185.74,966,1145424.84
2015-01-02 11:00:00,1185.76,1187.92,1185.76,1186.52,964,1143805.28
2015-01-02 12:00:00,1186.62,1186.92,1184.64,1186.19,938,1112646.22
2015-01-02 13:00:00,1186.36,1186.65,1181.19,1182.6,1433,1694665.7999999998
2015-01-02 14:00:00,1182.55,1183.73,1180.51,1182.69,1614,1908861.66
2015-01-02 15:00:00,1182.78,1183.54,1173.28,1176.98,2650,3118997.0
2015-01-02 16:00:00,1176.96,1178.11,1167.45,1174.11,3428,4024849.08
2015-01-02 17:00:00,1174.09,1174.26,1169.28,1171.64,2461,2883406.04
2015-01-02 18:00:00,1171.94,1194.18,1171.44,1188.04,4769,5665762.76
2015-01-02 19:00:00,1187.94,1194.86,1187.49,1192.06,2310,2753658.6
2015-01-02 20:00:00,1192.11,1192.66,1185.92,1187.28,1724,2046870.72
2015-01-02 21:00:00,1187.32,1188.72,1182.13,1182.55,1321,1562148.55
2015-01-02 22:00:00,1182.47,1186.35,1182.4,1185.05,1025,1214676.25
2015-01-02 23:00:00,1185.13,1187.45,1184.33,1187.3,793,941528.9
2015-01-03 00:00:00,1187.34,1189.1,1186.94,1188.4,580,689272.0
2015-01-05 02:00:00,1187.74,1188.24,1177.94,1183.9,1571,1859906.9
2015-01-05 03:00:00,1183.94,1189.9,1182.8,1189.68,1994,2372221.92
2015-01-05 04:00:00,1189.87,1192.9,1189.6,1191.39,2125,2531703.75
2015-01-05 05:00:00,1191.35,1194.24,1189.94,1193.09,1245,1485397.0499999998
2015-01-05 06:00:00,1193.14,1193.81,1192.55,1192.84,773,922065.32
2015-01-05 07:00:00,1192.69,1192.69,1191.0,1191.6,631,751899.6
2015-01-05 08:00:00,1191.5,1197.7,1191.3,1196.4,1298,1552927.2000000002
2015-01-05 09:00:00,1196.43,1196.93,1194.68,1196.4,1354,1619925.6
2015-01-05 10:00:00,1196.28,1197.72,1195.41,1195.63,1303,1557905.89
2015-01-05 11:00:00,1195.6,1197.3,1193.18,1193.49,1300,1551537.0
2015-01-05 12:00:00,1193.6,1195.84,1192.94,1194.35,978,1168074.2999999998
2015-01-05 13:00:00,1194.34,1194.94,1188.4,1189.59,1752,2084161.68
2015-01-05 14:00:00,1189.6,1191.16,1186.78,1188.93,1249,1484973.57
2015-01-05 15:00:00,1188.96,1190.47,1186.65,1188.98,1724,2049801.52
2015-01-05 16:00:00,1189.01,1199.28,1186.63,1194.15,4462,5328297.300000001
2015-01-05 17:00:00,1194.19,1200.44,1193.14,1198.78,4868,5835661.04
2015-01-05 18:00:00,1198.83,1202.49,1197.32,1198.61,4366,5233131.26
2015-01-05 19:00:00,1198.62,1198.77,1194.32,1196.37,2127,2544678.99
2015-01-05 20:00:00,1196.32,1201.32,1195.71,1200.77,1719,2064123.63
2015-01-05 21:00:00,1200.81,1204.32,1199.55,1202.48,2338,2811398.24
2015-01-05 22:00:00,1202.35,1204.33,1201.85,1203.79,958,1153230.82
2015-01-05 23:00:00,1203.68,1207.38,1203.39,1205.68,1057,1274403.76
2015-01-06 00:00:00,1205.54,1206.38,1203.43,1205.11,513,618221.4299999999
2015-01-06 02:00:00,1203.03,1204.79,1202.73,1203.18,311,374188.98
2015-01-06 03:00:00,1203.09,1203.61,1201.59,1203.11,735,884285.85
2015-01-06 04:00:00,1203.13,1204.6,1202.35,1204.04,1268,1526722.72
